smiles,sp_p
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,28.7
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,4.5
BrC(Br)C(Br)Br,51.0
COCC(C)OCC(C)OCC(C)O,5.5
CC(C)CC(O)CC(C)C,3.1
OCC(O)C(O)C(O)C(O)CO,10.7
ClC(Cl)C(Cl)Cl,5.1
CCO,8.8
CN(C)CCO,9.2
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCCCCC(=O)O,3.5
OCC(O)CO,12.1
CC(C)CC(C)(C)C,0.0
CCCCC,0.0
NC1CCCCC1,3.1
c1ccc(COCc2ccccc2)cc1,3.7
Oc1ccccc1,5.9
CCOC(=O)C(C)O,7.6
COc1ccc2cc(C(C)C(=O)O)ccc2c1,6.2
COCCO,9.2
COCC(C)O,6.3
Nc1ccc(Cl)c(N)c1,5.2
C=CC(=O)OCCCCOC(=O)C=C,9.1
OCc1ccc(O)cc1,7.0
CCCCCCCCCO,2.9000000000000004
CCCCCCCCCCCCCCCCCC(=O)O,3.3
C1CCOC1,5.7
Nc1ccc(C(=O)O)cc1,14.3
ICI,3.9
c1ccc2ccccc2c1,4.0
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,5.1
C=C(Cl)Cl,6.3
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,16.2
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,13.3
CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1,6.2
Cc1cc(Cl)ccc1O,6.5
c1ccc2nc3ccccc3cc2c1,5.4
CC(=O)O,8.0
c1ccc(CCc2ccccc2)cc1,0.6
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,7.0
Cc1ccc(C)cc1,1.0
FC(Cl)(Cl)Cl,2.0
CCCCOC(=O)c1ccccc1C(=O)OCCCC,8.6
O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,12.1
Oc1ccc(Cl)cc1,7.5
C=C(C)C(=O)OCc1ccccc1,4.1
c1ccccc1,0.0
CCCO,6.8
CCCCCCO,4.0
CCc1ccc(O)cc1,4.2
CCCCCCCCCC(O)COc1ccccc1,10.2
Oc1cccc(Cl)c1,7.5
Oc1c(Cl)cc(Cl)cc1Cl,8.7
ClCc1ccccc1,7.2
OCCO,11.0
C=C(C)C(=O)OCC1CO1,8.5
OCc1ccco1,7.6
CCCCCCCCCCCC,0.0
CCCCCC,0.0
CCCCC(CC)CO,3.3
CCOP(=O)(OCC)OCC,11.4
NC=O,26.2
CCCCOCCO,5.1
COCCOCCOC(C)(C)C,7.2
COC(=O)c1ccccc1O,8.0
CCCCCCCCCCCCCCCC(=O)OC(C)C,3.9
C=CC#N,12.8
C=Cc1ccccc1,1.0
O=C(O)c1ccc(Br)cc1,3.7
ClC(Cl)(Cl)C(Cl)(Cl)Cl,7.300000000000001
COCCCOCCCO,5.7
CC(C)(C)O,5.1
O=C1CCCN1,17.4
CCCCCCCCCCCCCCCC,0.0
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,12.9
CCc1ccc(CC)cc1,0.0
CCC(C)C,0.0
CCCC(F)(F)C(F)(F)C(O)(F)F,4.4
CN(C)P(=O)(N(C)C)N(C)C,8.6
CS(C)(=O)=O,19.4
CCC(C)=NO,4.9
CN1CCCC1c1cccnc1,6.6000000000000005
Oc1ccc(Br)cc1,4.9
C=C(C)C#N,15.1
CCOC(=O)OCC,3.1
CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,4.3
FC(F)(F)C1CCCCC1,0.0
OCCOCCOCCO,12.5
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],14.6
CC(C)CC(C)O,3.3
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,7.1000000000000005
CCCNCCC,1.4
NCCO,15.5
CCOCCOC(C)=O,4.7
CC(O)CO,9.4
CC(C)[N+](=O)[O-],12.1
S=C=S,0.0
c1ccncc1,8.8
FC(F)(Cl)C(F)(F)Cl,1.8
C1CCCCC1,0.0
c1ccc(-c2ccccc2)cc1,1.0
FC(F)(Cl)Cl,2.0
CCCCCCCCCC,0.0
O=C(O)CC(O)(CC(=O)O)C(=O)O,13.5
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,15.6
CCCCOC(C)=O,3.7
O=C1CCCCC1,6.3
CCCC,0.0
O=C1CCCO1,16.6
CCOCCO,9.2
CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,3.8
COC(=O)c1cccnc1,4.4
ClCBr,5.7
OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,7.5
C1COCCN1,4.9
CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,2.0
CC(O)CCO,10.0
CC(=O)Oc1ccccc1C(=O)O,4.7
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,4.6
FC(F)(F)Br,2.5
COC(C)(C)CC(C)=O,6.0
CC=CCC(C)C(O)C1C(O)=NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(O)=NC(C(C)C)C(=O)N(C)C(CC(C)C)C(O)=NC(C)C(O)=NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,3.25
ClC(Cl)(Cl)Cl,0.0
CCOC(=O)Cl,10.0
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,12.6
C=O,18.3
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,4.2
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,8.53
CC(=O)CC(C)=O,9.0
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,4.9
C=C(C)C(=O)O,2.8
Cc1cc(O)cc(C)c1Cl,5.7
CC(O)COC(=O)c1cccnc1,8.5
Cc1ccccc1,1.4
c1ccc2cnccc2c1,6.6000000000000005
O=C(O)c1ccc(Cl)cc1,5.9
O=C(O)c1ccccc1,10.1
CC(=O)Cl,10.6
CCCCOC(=O)C(C)O,6.5
CCCCOCCOCCOC(C)=O,4.1
CC(C)Cc1ccc(C(C)C(=O)O)cc1,7.7
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,9.8
COc1ccccc1,4.1
Clc1ccccc1,4.3
BrCCBr,6.8
CC(C)(C)OCCO,6.1
CCCC(C)=O,7.1
CCCC(=O)O,4.1
CCCCCO,5.9
O=C(O)c1cccc2ccccc12,3.2
CC(C)(C)NCC(O)COc1ccccc1C1CCCC1,2.4
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,9.5
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,5.1000000000000005
O=C(O)c1cccc(Cl)c1,5.9
CC(C)NCC(O)COc1cccc2ccccc12,7.9
CCC1(CC)C(=O)NC(=O)NC1=O,8.5
c1ccc(OCC2CO2)cc1,4.3
ClC(Cl)Cl,3.1
C=CC(=O)OCC,7.1
CCOS(=O)(=O)OCC,14.7
CCCCOCCOCCO,7.0
CCCCN,4.5
CNC(C)C(O)c1ccccc1,3.4
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,9.0
OCCCCCCO,8.4
CCCCC(C)=O,6.1
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,2.2
OCc1ccccc1,6.3
N#Cc1ccccc1,9.0
CCCCCCC,0.0
CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCO,3.1
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,3.2
Cn1c(=O)c2c(ncn2C)n(C)c1=O,13.7
C1COCCO1,1.8
CCC#N,14.3
COCCOC(C)(C)C,5.1
C=C(C)C(=O)OCCCCCCCCCCCC,2.2
CCCCCCCCCCCCCCCCC(CCCC)(CCCC)C(=O)[O-],3.7
CC(=O)OC(C)=O,11.7
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,5.5
CCOC(=O)c1cccnc1,3.9
CCCC#N,12.4
O=C(O)c1ccc(O)cc1,14.5
O=C(O)CCc1ccccc1,3.3
CC(C)(C)OCCOC(C)(C)C,4.1
NC(=O)Cc1ccc(O)cc1,5.8
CCCCCCCCC,0.0
Clc1ccccc1Cl,6.3
CCOCC,2.9
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,5.4
COCCOCCO,7.8
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCC(N)=O,4.3
ClC(Cl)=C(Cl)Cl,6.5
C=CC(=O)OCCO,13.2
Brc1ccccc1,5.5
O=C=O,6.3
CCCCCCCC/C=C\CCCCCCCCO,2.7
O=[N+]([O-])c1ccccc1Cl,10.7
Oc1ccccc1O,11.3
COc1ccccc1O,8.2
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,5.53
ClC1CCCCC1,5.5
CCBr,8.0
CCOCCOCCOC(C)=O,5.1
c1ccc2ncccc2c1,7.0
c1ccc2c(c1)CCCC2,2.0
O=C1CCC(=O)O1,19.2
CC(=O)OCC(C)C,3.7
CCCCCCCCOP(=O)(OCCCCCCCC)OCCCCCCCC,5.9
ClC=C(Cl)Cl,3.1
CCCCCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,3.4000000000000004
CCCN,4.9
FC(F)(F)C1(C(F)(F)F)CCCCC1,0.0
O=c1[nH]cc(F)c(=O)[nH]1,13.3
OCCCOCCCO,10.6
CCCCOCC(O)COCC,6.5
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,4.3
Clc1ccc(-c2ccccc2)c(Cl)c1Cl,5.3
CCN(CC)CC(=O)Nc1c(C)cccc1C,5.0
CC(=O)CC(C)(C)O,8.2
C=COC(C)=O,7.2
CC(Cl)(Cl)Cl,4.3
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,12.7
CCCCCC(C)=O,5.7
O,16.0
COC(=O)c1ccc(O)cc1,5.6000000000000005
CC(C)(Cl)OC(C)(C)Cl,8.2
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,3.8
CNN,8.700000000000001
C=CCc1ccccc1OCC(O)C[NH2+]C(C)C,4.3
OCC1CCCO1,8.2
CN(C)N,5.9
O=C(OCc1ccccc1)c1cccnc1,3.0
CS(C)=O,16.4
Cc1cccc(Nc2ccccc2C(=O)O)c1C,2.5
C=CCO,7.1
CN(C)C(=O)N(C)C,8.2
CCCCOP(=O)(OCCCC)OCCCC,6.3
O=[N+]([O-])c1ccccc1,8.6
O=C(O)Cc1ccc(CO)cc1,5.0
CCN(CC)CC,0.4
CCCCCCCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,3.1
C=C(C)C(=O)OC,6.5
CN(C)c1ccccc1,6.300000000000001
CCCCCCCCCc1ccccc1O,4.1
Oc1ccccc1Cl,5.5
CCNCC,2.3
CCC(C)O,5.7
c1ccoc1,1.8
CC(C)CO,5.7
O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,12.9
Nc1ccccc1Cl,5.4
CC(C)CC(=O)CC(C)C,3.7
CCCCCCCCCCO,2.6
ClCCl,6.3
COC(C)=O,7.2
c1ccc(Oc2cccc(Oc3cccc(Oc4ccccc4)c3)c2)cc1,3.1
CC=O,8.0
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,3.9
Cc1cc(O)ccc1Cl,6.5
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,3.0
COCCc1ccc(OCC(O)CNC(C)C)cc1,7.0
CN1C(=C(O)Nc2ccccn2)C(=O)c2ccccc2S1(=O)=O,21.4
CCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,3.9
C[N+](=O)[O-],18.8
ClCC1CO1,7.6
Brc1cccc2ccccc12,3.1
CCCCO,5.7
O=Cc1ccccc1,7.4
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,7.0
Cc1cccc2ccccc12,0.8
O=Cc1ccco1,14.9
CCN(CC)C(=O)N1CCN(C)CC1,8.1
CCCCOC(=O)c1cccnc1,3.1
CC1COC(=O)O1,18.0
Oc1ccc2ccccc2c1,6.3
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,4.3
OC1CCCCC1,4.1
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,5.4
OCCOCCO,12.0
CCCCCCC(=O)O,3.0
CC(O)C(C)O,7.8
Cc1ccc(O)cc1,4.9
CCc1ccccc1,0.6
CCOCCOCCO,9.2
CO,12.3
CC1=CC(=O)CC(C)(C)C1,8.2
Cc1ccccc1N,5.8
CC(=O)CC(C)C,6.1
C=CC(=O)OCCCC,6.2
N#CCc1ccccc1,12.3
CCl,6.1
CCCCCC(=O)O,3.4000000000000004
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,5.4
CC(O)COC(C)CO,20.3
Oc1ccc(Cl)cc1Cl,8.3
CCCCl,7.8
Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1,12.3
CN1CCCC1=O,12.3
CC(=O)c1ccccc1,8.6
CCC(C)=O,9.0
CCCCCl,5.5
CCS,6.5
Nc1ccc(N)cc1,0.8
O=CO,11.9
CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,4.2
ClCCCl,7.4
O=[N+]([O-])c1ccc(O)cc1,11.9
CCCCCCCCCCCCCO,3.1
CCOC(=O)/C=C/c1ccccc1,8.2
Cc1ccc(C(C)C)c(O)c1,3.2
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,3.35
Cc1cc(C)cc(C)c1,0.0
CC(=O)C=C(C)C,6.1
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCC(=O)O,3.9
O=C1OCCO1,21.7
CC(C)COCCO,4.9
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,6.5
CCCC(C)(O)C1CC23C=CC1(OC)C1Oc4c(O)ccc5c4C12CCN(C)C3C5,3.5
CCOC(C)=O,5.3
CCCCCCCC,0.0
CCCCC1(CC)C(=O)NC(=O)NC1=O,7.0
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,4.3
CCCCC(=O)O,4.0
CC(C)=O,10.4
CC(C)CCO,4.6000000000000005
C=CC(=O)O,6.4
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,11.2
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,4.0
Cc1ccccc1C,1.0
BrC(Br)Br,8.2
CCCCCCOC(=O)c1cccnc1,2.6
Nc1ccccc1,5.1
CC(C)COC(=O)C(C)C,2.9
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,12.3
COC(=O)c1ccccc1C(=O)OC,10.8
CCCC=O,5.3
CCCCCCC(C)O,4.9
CC(=O)N(C)C,11.5
Cc1ccccc1O,4.9
CC(C)O,6.1
CCCCCCCC/C=C\CCCCCCCC(=O)O,3.1
O=C(O)c1ccccc1O,12.43
CC(=O)CCC(C)C,5.7
CCOC(=O)c1ccccc1C(=O)OCC,9.6
OCc1ccc(Cl)cc1,6.4
OCCc1ccccc1,4.3
C=CC(=O)OCC(CC)CCCC,4.7
FC(F)(Cl)C(F)(Cl)Cl,1.6
CC1CO1,8.6
Cn1c(=O)[nH]c2nc(O)[nH]c2c1=O,11.3
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(O)C(=O)CO,4.6
CC#N,18.0
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(=O)(O)O,4.7
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,3.6
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,4.9
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,5.1
CC(=O)C1(O)CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C,3.6
Cc1cccc(O)c1,5.1
CC(=O)OCCC(C)C,3.1
O=[N+]([O-])c1cccc(O)c1,11.9
C=CCOc1ccccc1OCC(O)CNC(C)C,4.8
CCOC=O,10.6
O=C1OC2C=CC=CC2C(O)=C1Cc1c(O)c2ccccc2oc1=O,5.57
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,4.2
COc1c2occc2cc2ccc(=O)oc12,6.6
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,3.0
CCCCCCCCCCCCCCCCCCCC,0.0
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,3.69
OCCCCl,5.7
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0
C1CC[C@H]2CCCC[C@@H]2C1,0.0
CCCCCCCC(=O)O,3.3000000000000003
NC(=O)c1cccnc1,13.1
CCCCCCCO,3.5
CCCCC(CC)COC(C)=O,2.9
COP(=O)(OC)OC,15.9
COCOC,1.8
CCSCC,3.1
CC1CCCCC1,0.0
NCCN,8.8
Nc1ccccc1N,0.8
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,3.3
C1CC[C@H]2CCCC[C@H]2C1,0.0
ClC=CCCl,8.2
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,4.0
COCCOCCOC,6.1
CCC(CC)CO,4.3
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,12.5
CCC(=O)CC,7.6
C=CC(=O)OC,6.7
CN(C)C=O,13.7
OC(C(F)(F)F)C(F)(F)F,4.5
CCC(=O)O,5.300000000000001
CCCCCCCC/C=C\CCCCCCCC(=O)OC,3.9
Cc1cccc(C)c1,0.9
NCCNCCN,13.3
CCCCOCCOCC,4.9
N#CCCO,18.8
O=C(O)CCC(=O)O,6.7
ClCCOCCCl,9.0
Cc1cnc(NC(O)=C2C(=O)c3ccccc3S(=O)(=O)N2C)s1,13.2
CCCCCCCCO,3.2
Oc1cccc(O)c1,8.4
CC(C)[NH2+]CC(O)COc1cccc2[nH]ccc12,3.3
CC[N+](=O)[O-],15.5
NC(N)=O,18.7
Cc1ccc(O)cc1C,4.2
